heuristic,games,wins,losses,draws,win_pct,avg_plies,avg_time_s
clustering,109,50,36,23,45.9,68.8,4.197
back_rank,126,57,34,35,45.2,77.0,3.658
opp_mobility_restrict,118,52,34,32,44.1,81.0,3.050
material,114,49,32,33,43.0,80.0,5.939
double_corner,112,47,29,36,42.0,83.8,7.174
piece_square,154,64,31,59,41.6,90.2,4.368
king_adv_pressure,126,49,47,30,38.9,76.1,4.562
connectivity,140,49,42,49,35.0,86.6,4.277
material_adv,114,38,33,43,33.3,90.1,6.630
exchange_favorability,114,28,38,48,24.6,98.6,7.762
attack_bias,128,30,45,53,23.4,97.6,6.531
promotion_potential,152,35,46,71,23.0,100.6,5.301
center,156,29,52,75,18.6,110.7,9.634
mobility_safe,121,12,51,58,9.9,105.5,20.309
mobility,178,0,39,139,0.0,146.2,16.573
